

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Venus_96wellgrowthcurve_170301_140038.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\96wellgrowthcurve.prt



Plate Number	Plate 1
Date	3/1/2017
Time	2:00:38 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	48 WELL PLATE
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 120:00:00 (HH:MM:SS), Interval 0:30:00, 241 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	Well ID



Actual Temperature:	22.6

Results
	1	2	3	4	5	6	7	8
A	0.037	0.035	0.035	0.036	0.036	0.037	0.036	0.036	Read 1:600
B	0.038	0.038	0.038	0.037	0.039	0.038	0.136	0.035	Read 1:600
C	0.036	0.059	0.060	0.059	0.061	0.038	0.110	0.035	Read 1:600
D	0.036	0.072	0.061	0.100	0.068	0.039	0.088	0.037	Read 1:600
E	0.036	0.117	0.069	0.084	0.103	0.039	0.087	0.038	Read 1:600
F	0.038	0.037	0.038	0.037	0.036	0.036	0.036	0.038	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	F1	F2	F3	F4	F5	F6	F7	F8
5:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.039	0.037	0.040	0.038	0.094	0.034	0.036	0.060	0.063	0.064	0.065	0.038	0.090	0.036	0.036	0.069	0.065	0.099	0.070	0.039	0.085	0.038	0.036	0.060	0.061	0.068	0.059	0.039	0.096	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.037	0.038
5:59:43	25.0	0.036	0.035	0.036	0.036	0.036	0.037	0.036	0.037	0.038	0.039	0.039	0.037	0.040	0.038	0.098	0.034	0.036	0.060	0.063	0.064	0.065	0.038	0.094	0.035	0.036	0.072	0.068	0.106	0.074	0.039	0.088	0.037	0.036	0.064	0.065	0.071	0.063	0.039	0.098	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.037	0.038
6:29:43	25.0	0.036	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.039	0.038	0.037	0.040	0.038	0.103	0.034	0.036	0.060	0.063	0.064	0.065	0.038	0.099	0.035	0.036	0.076	0.073	0.116	0.079	0.039	0.092	0.037	0.036	0.068	0.070	0.076	0.068	0.039	0.102	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
6:59:43	25.0	0.036	0.035	0.036	0.036	0.037	0.037	0.036	0.037	0.038	0.039	0.039	0.038	0.040	0.038	0.110	0.034	0.036	0.060	0.063	0.064	0.065	0.038	0.106	0.036	0.036	0.083	0.079	0.129	0.086	0.039	0.099	0.038	0.036	0.075	0.077	0.084	0.075	0.039	0.109	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.037	0.038
7:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.120	0.034	0.036	0.060	0.064	0.064	0.065	0.038	0.116	0.035	0.036	0.092	0.087	0.147	0.096	0.039	0.108	0.037	0.036	0.084	0.086	0.093	0.085	0.039	0.117	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
7:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.039	0.039	0.037	0.040	0.038	0.133	0.034	0.036	0.061	0.063	0.064	0.065	0.038	0.129	0.035	0.036	0.103	0.099	0.172	0.110	0.039	0.120	0.037	0.036	0.096	0.100	0.107	0.099	0.039	0.128	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
8:29:43	25.0	0.036	0.035	0.036	0.036	0.036	0.037	0.036	0.037	0.038	0.039	0.039	0.038	0.040	0.038	0.153	0.034	0.036	0.061	0.063	0.064	0.066	0.038	0.149	0.036	0.036	0.119	0.115	0.201	0.128	0.039	0.137	0.037	0.036	0.113	0.118	0.126	0.118	0.039	0.143	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
8:59:43	25.0	0.035	0.035	0.036	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.179	0.034	0.036	0.061	0.063	0.064	0.066	0.038	0.175	0.035	0.036	0.139	0.135	0.234	0.151	0.039	0.160	0.037	0.036	0.135	0.142	0.152	0.143	0.039	0.165	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
9:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.209	0.034	0.036	0.061	0.063	0.064	0.066	0.038	0.205	0.035	0.036	0.165	0.161	0.280	0.180	0.039	0.189	0.037	0.036	0.163	0.171	0.180	0.173	0.039	0.191	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.038
9:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.249	0.034	0.036	0.061	0.063	0.065	0.066	0.038	0.245	0.035	0.036	0.193	0.190	0.330	0.214	0.039	0.224	0.037	0.036	0.195	0.205	0.217	0.210	0.039	0.224	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.038
10:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.297	0.034	0.036	0.061	0.064	0.064	0.066	0.038	0.293	0.035	0.036	0.232	0.227	0.389	0.259	0.039	0.270	0.037	0.036	0.237	0.250	0.264	0.257	0.039	0.268	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
10:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.037	0.039	0.038	0.352	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.349	0.035	0.036	0.277	0.274	0.461	0.309	0.039	0.322	0.037	0.036	0.287	0.304	0.319	0.312	0.039	0.318	0.038	0.038	0.037	0.038	0.036	0.036	0.036	0.036	0.038
11:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.038	0.040	0.038	0.419	0.034	0.036	0.061	0.064	0.064	0.066	0.038	0.419	0.035	0.036	0.329	0.326	0.540	0.370	0.039	0.385	0.037	0.036	0.344	0.365	0.383	0.376	0.039	0.379	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.038
11:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.038	0.037	0.039	0.038	0.494	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.496	0.035	0.036	0.393	0.393	0.616	0.446	0.039	0.459	0.037	0.036	0.415	0.440	0.460	0.454	0.038	0.451	0.037	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
12:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.038	0.037	0.039	0.038	0.571	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.575	0.035	0.036	0.469	0.474	0.678	0.528	0.039	0.538	0.037	0.036	0.492	0.521	0.542	0.537	0.039	0.526	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.038
12:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.039	0.038	0.037	0.040	0.038	0.648	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.647	0.035	0.036	0.549	0.555	0.734	0.603	0.039	0.611	0.037	0.036	0.571	0.594	0.620	0.610	0.039	0.605	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.038
13:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.710	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.710	0.035	0.036	0.620	0.626	0.808	0.668	0.039	0.686	0.037	0.036	0.631	0.653	0.675	0.675	0.039	0.679	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
13:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.039	0.038	0.037	0.040	0.038	0.758	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.778	0.035	0.036	0.679	0.685	0.849	0.727	0.039	0.740	0.037	0.036	0.692	0.719	0.733	0.724	0.039	0.739	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
14:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	0.831	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.849	0.035	0.035	0.735	0.747	0.905	0.812	0.039	0.795	0.037	0.036	0.735	0.761	0.783	0.781	0.039	0.795	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
14:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	0.853	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.866	0.035	0.036	0.799	0.811	0.956	0.836	0.039	0.851	0.037	0.036	0.795	0.813	0.836	0.828	0.038	0.853	0.037	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
15:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.036	0.037	0.038	0.038	0.037	0.040	0.038	0.891	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.905	0.035	0.036	0.838	0.848	1.023	0.892	0.039	0.880	0.037	0.036	0.824	0.849	0.867	0.874	0.039	0.884	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
15:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.038	0.037	0.040	0.038	0.937	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.953	0.035	0.036	0.890	0.905	1.081	0.956	0.039	0.923	0.037	0.036	0.882	0.908	0.930	0.935	0.039	0.927	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
16:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	0.976	0.034	0.036	0.061	0.064	0.065	0.066	0.038	0.994	0.035	0.036	0.963	0.975	1.120	1.024	0.039	0.968	0.037	0.036	0.922	0.950	0.976	0.990	0.039	0.958	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
16:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.036	0.038	0.038	0.038	0.038	0.039	0.038	1.009	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.025	0.035	0.036	1.036	1.048	1.175	1.081	0.039	1.003	0.037	0.036	0.986	1.018	1.034	1.061	0.039	1.003	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
17:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.037	0.038	0.038	0.037	0.039	0.038	1.065	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.074	0.035	0.036	1.081	1.093	1.207	1.136	0.039	1.062	0.037	0.036	1.052	1.081	1.101	1.113	0.039	1.057	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
17:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.038	0.037	0.039	0.038	1.078	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.089	0.035	0.036	1.132	1.153	1.232	1.175	0.039	1.072	0.037	0.036	1.096	1.137	1.162	1.190	0.038	1.077	0.038	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
18:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.094	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.104	0.035	0.036	1.161	1.197	1.252	1.209	0.039	1.087	0.037	0.036	1.176	1.206	1.228	1.228	0.038	1.088	0.038	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
18:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.037	0.038	0.038	0.038	0.037	0.040	0.038	1.121	0.034	0.036	0.061	0.065	0.065	0.067	0.038	1.127	0.035	0.036	1.189	1.224	1.270	1.234	0.039	1.104	0.037	0.036	1.207	1.229	1.247	1.246	0.038	1.106	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
19:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.133	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.140	0.035	0.036	1.210	1.245	1.282	1.248	0.039	1.136	0.037	0.036	1.224	1.243	1.262	1.272	0.039	1.127	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
19:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.037	0.039	0.038	1.148	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.156	0.035	0.036	1.225	1.253	1.297	1.262	0.039	1.140	0.037	0.036	1.235	1.258	1.272	1.270	0.039	1.142	0.038	0.038	0.037	0.037	0.036	0.036	0.036	0.036	0.037
20:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.180	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.173	0.035	0.035	1.237	1.267	1.310	1.271	0.039	1.156	0.037	0.036	1.246	1.266	1.281	1.279	0.038	1.156	0.037	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
20:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.037	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.191	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.185	0.035	0.036	1.248	1.276	1.319	1.283	0.039	1.170	0.037	0.036	1.254	1.277	1.290	1.288	0.038	1.169	0.038	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
21:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.208	0.034	0.035	0.061	0.064	0.065	0.066	0.038	1.201	0.035	0.035	1.258	1.284	1.329	1.297	0.039	1.183	0.037	0.036	1.260	1.280	1.294	1.294	0.038	1.183	0.037	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
21:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.221	0.034	0.036	0.061	0.064	0.065	0.066	0.038	1.216	0.035	0.036	1.272	1.295	1.335	1.309	0.039	1.199	0.037	0.036	1.265	1.286	1.300	1.299	0.038	1.201	0.037	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
22:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.234	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.229	0.035	0.035	1.284	1.307	1.340	1.315	0.039	1.213	0.037	0.036	1.273	1.293	1.308	1.309	0.038	1.215	0.037	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
22:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.241	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.236	0.035	0.035	1.292	1.313	1.342	1.321	0.039	1.226	0.037	0.036	1.281	1.303	1.316	1.318	0.038	1.230	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.036	0.037
23:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.249	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.243	0.035	0.036	1.298	1.318	1.346	1.323	0.039	1.231	0.037	0.036	1.291	1.315	1.327	1.325	0.038	1.244	0.037	0.038	0.036	0.037	0.036	0.036	0.035	0.035	0.037
23:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.250	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.246	0.035	0.036	1.302	1.323	1.351	1.327	0.039	1.237	0.037	0.036	1.303	1.323	1.335	1.332	0.038	1.252	0.038	0.038	0.037	0.037	0.036	0.036	0.035	0.036	0.037
24:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.249	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.246	0.035	0.035	1.307	1.329	1.357	1.333	0.039	1.237	0.037	0.036	1.300	1.316	1.328	1.329	0.038	1.251	0.037	0.038	0.036	0.037	0.036	0.036	0.035	0.035	0.037
24:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.249	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.247	0.035	0.035	1.311	1.333	1.362	1.337	0.039	1.238	0.037	0.036	1.293	1.307	1.317	1.317	0.038	1.252	0.037	0.037	0.037	0.037	0.036	0.036	0.035	0.035	0.037
25:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.246	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.245	0.035	0.035	1.317	1.338	1.351	1.343	0.039	1.237	0.037	0.036	1.284	1.297	1.309	1.309	0.038	1.250	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
25:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.240	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.241	0.035	0.036	1.321	1.342	1.344	1.336	0.039	1.234	0.037	0.036	1.276	1.290	1.302	1.301	0.038	1.248	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
26:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.232	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.233	0.035	0.035	1.323	1.331	1.338	1.327	0.039	1.228	0.037	0.036	1.269	1.284	1.296	1.294	0.038	1.242	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
26:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.226	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.226	0.035	0.035	1.313	1.323	1.330	1.319	0.039	1.219	0.037	0.036	1.263	1.279	1.291	1.290	0.038	1.233	0.037	0.037	0.037	0.037	0.036	0.036	0.035	0.035	0.037
27:29:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.221	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.221	0.035	0.036	1.307	1.315	1.324	1.312	0.039	1.214	0.037	0.036	1.258	1.274	1.286	1.285	0.038	1.226	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
27:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.217	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.217	0.035	0.036	1.301	1.309	1.318	1.306	0.039	1.211	0.036	0.036	1.253	1.270	1.281	1.280	0.038	1.220	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
28:29:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.213	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.213	0.035	0.035	1.294	1.303	1.310	1.298	0.039	1.207	0.037	0.036	1.249	1.264	1.275	1.273	0.038	1.215	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
